Temporada;Equipo;Técnicos en temporada;Cantidad de técnicos;Cambios de técnico
2024;CD Palestino;Pablo Sánchez;1;0
2024;CD Cobreloa;Emiliano Astorga;1;0
2024;Deportes Iquique;Miguel Ponce;1;0
2024;Coquimbo Unido;Fernando Díaz;1;0
2024;Deportes Copiapó;Héctor Almandoz, Ivo Basay;2;1
2025;CSD Colo-Colo;Jorge Almirón;1;0
2025;Universidad de Chile;Gustavo Álvarez;1;0
2025;CD Everton;Esteban Solari, Francisco Meneghini, Davis González;3;2
2025;CD Universidad Católica;Tiago Nunes, Rodrigo Valenzuela, Nicolás Núñez;3;2
2025;Unión Española;José Luis Sierra, Miguel Ponce;2;1
2025;CD Huachipato;Francisco Troncoso, Igor Oca, Javier Sanguinetti;3;2
2025;CD O'Higgins;Víctor Fuentes, Juan Manuel Azconzábal;2;1
2025;Deportes Iquique;Miguel Ramírez;1;0
2025;Audax Italiano;Nelson Tapia, Francisco Arrué, Walter Erviti, Juan José Ribera;4;3
2025;CD Palestino;Pablo Sánchez, Jorge Schwager, Lucas Bovaglio;3;2
2025;CD Ñublense;Mario Salas;1;0
2025;Deportes La Serena;Erwin Durán;1;0
2025;Coquimbo Unido;Esteban González, Fernando Díaz;2;1
2025;Deportes Limache;Víctor Rivero;1;0
2025;CD Cobresal;Gustavo Huerta;1;0
2025;Unión La Calera;Walter Lemma, Carlos Galdames, Manuel Fernández;3;2
