Temporada;Equipo;Técnico 1;Técnico 2;Técnico 3;Técnico 4;Técnico 5;Cantidad de técnicos;Cambios de técnico;Posición final torneo
2022;Coquimbo Unido;Patricio Graff;Fernando Díaz;;;;2;1;14
2022;CD O'Higgins;Mariano Soso;;;;;1;0;8
2022;CD Cobresal;Gustavo Huerta;;;;;1;0;5
2022;Deportes La Serena;Ivo Basay;Óscar Correa;Pablo Marini;;;3;2;15
2022;Deportes Antofagasta;Juan Domingo Tolisano;Diego Reveco;Javier Torrente;;;3;2;16
2023;CSD Colo-Colo;Gustavo Quinteros;;;;;1;0;3
2023;CD Universidad Católica;Rodrigo Valenzuela;Ariel Holan;Nicolás Núñez;;;3;2;7
2023;CD Everton;Francisco Meneghini;;;;;1;0;6
2023;Universidad de Chile;Mauricio Pellegrino;;;;;1;0;9
2023;CD O'Higgins;Juan Manuel Azconzábal;Pablo de Muner;;;;2;1;12
2023;Unión La Calera;Gerardo Ameli;Martín Cicotello;Carlos Galdames;;;3;2;8
2023;Unión Española;Ronald Fuentes;;;;;1;0;11
2023;Audax Italiano;José Calderón;Manuel Fernández;Luca Marcogiuseppe;Francisco Arrué;;4;3;13
2023;CD Ñublense;Jaime García;Hernán Caputto;;;;2;1;12
2023;CD Huachipato;Gustavo Álvarez;;;;;1;0;1
2023;CD Cobresal;Gustavo Huerta;;;;;1;0;2
2023;CD Palestino;Pablo Sánchez;;;;;1;0;4
2023;Coquimbo Unido;Fernando Díaz;;;;;1;0;5
2023;Magallanes;Nicolás Núñez;Braulio Leal;Mario Salas;;;3;2;15
2023;Curicó Unido;Damián Muñoz;Juan José Ribera;Miguel Riffo;;;3;2;16
2023;Deportes Copiapó;Héctor Almandoz;Ivo Bassay;;;;2;1;14
2024;CSD Colo-Colo;Jorge Almirón;;;;;1;0;1
2024;Universidad de Chile;Gustavo Álvarez;;;;;1;0;2
2024;CD Everton;Esteban Solari;Francisco Meneghini;Davis González;;;3;2;7
2024;CD Universidad Católica;Tiago Nunes;Rodrigo Valenzuela;Nicolás Núñez;;;3;2;5
2024;Unión Española;José Luis Sierra;Miguel Ponce;;;;2;1;6
2024;CD Huachipato;Francisco Troncoso;Igor Oca;Javier Sanguinetti;;;3;2;12
2024;CD O'Higgins;Víctor Fuentes;Juan Manuel Azconzábal;;;;2;1;14
2024;Deportes Iquique;Miguel Ramírez;;;;;1;0;3
2024;Audax Italiano;Nelson Tapia;Francisco Arrué;Walter Erviti;Juan José Ribera;;4;3;10
2024;CD Palestino;Pablo Sánchez;Jorge Schwager;Lucas Bovaglio;;;3;2;4
2024;CD Ñublense;Mario Salas;;;;;1;0;9
2024;Coquimbo Unido;Esteban González;Fernando Díaz;;;;2;1;8
2024;Deportes Copiapó;Ivo Basay;Hernán Caputto;;;;2;1;16
2024;CD Cobreloa;Emiliano Astorga;;;;;1;0;15
2024;CD Cobresal;Gustavo Huerta;;;;;1;0;13
2024;Unión La Calera;Walter Lemma;Carlos Galdames;Manuel Fernández;;;3;2;11
2025;Universidad de Chile;Gustavo Álvarez;;;;;1;0;4
2025;CD Universidad Católica;Tiago Nunes;Rodrigo Valenzuela;Daniel Grnero;;;3;2;2
2025;CSD Colo-Colo;Jorge Almirón;Fernando Ortiz;Hugo González;;;3;2;8
2025;CD O'Higgins;Francisco Meneghini;;;;;1;0;3
2025;Unión Española;José Luis Sierra;Miguel Ramírez;Gonzalo Villagra;;;3;2;16
2025;Coquimbo Unido;Esteban González;;;;;1;0;1
2025;Audax Italiano;Gustavo Lema;Juan José Ribera;;;;2;1;5
2025;CD Palestino;Lucas Bovaglio;;;;;1;0;6
2025;CD Everton;Mauricio Larriera;Javier Torrente ;Gustavo Leal;Gustavo Dalasso;;4;3;14
2025;Deportes La Serena;Cristian Paulucci;Erwin Durán;Francisco Bozán;Mario Sciacqua;;4;3;13
2025;CD Huachipato;Jaime García;;;;;1;0;9
2025;Deportes Limache;Víctor Rivero;;;;;1;0;11
2025;CD Ñublense;Alejandro Gaete;Ronald Fuentes;Francisco Arrué;;;3;2;10
2025;Unión La Calera;Walter Lemma;Martín Cicotello;;;;2;1;12
2025;CD Cobresal;Gustavo Huerta;;;;;1;0;7
2025;Deportes Iquique;Miguel Ramírez;Fernando Díaz;Rodrigo Guerrero;;;3;2;15
